punct,frequency,to check
།_,1168637,
།_།,988277,
_།,49992,
།,15122,
།_།_,9619,
།།_།།,7435,
_།_,620,
༄༅།_།,615,
།།_,610,
།།_།།_,584,
༄༅༅།_།,500,
།།,151,
།_།།,100,
༔,60,
༄༅།།,27,
།།_།,23,
།།།།,22,
,20,
_།_།,14,
།_།།_,14,
༔_,13,
།_།_།,13,
༅༅,10,
༔།_,8,
༑_,8,
༄༅།_,7,
_།།,7,
_།_།_,6,
༄༅༅།,5,
༄༅༅།།,5,
༑_།,4,
༄༅༅།_,4,
།།_།།_།།,3,
།_།།_།_།,2,
༄༅།,2,
_།_།།,1,
།།_།།_།།_།།_།།_།།_།།_།།,1,
།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།,1,
།།_།_,1,
།།_།།།།_།།_།།_།།,1,
༈།_,1,
།།_།།།།,1,
༔།_།,1,
།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།,1,
།།།།_,1,
༅༅༅,1,
_།_།།_,1,
།།།,1,
།_།_།།,1,
།_།_།_།,1,
།།_།།_།།_།།,1,
།_།_༔,1,
།_།།_།།_།།།།_།།_།།_།།_།།།།_།།_།།_།།_།།_།།,1,
།_༔_,1,
།།_།།_།།_།།_།།_།།_།།_།།_།།,1,
།།_།_།,1,
