punct,frequency,to check
།_།,2203592,
།_,1936283,
།_།_,57082,
_།,53141,
།།_།།,14349,
།,3668,
༄༅༅།_།,3070,
།།_,2937,
༈_།,2095,
_།_,1962,
།།_།།_,1357,
༈_,922,
༄༅།_།,873,
།།,701,
,518,
།།_།,176,
།_།།,122,
_།_།,49,
༈།,44,
_།།,37,
།_།།_,36,
༄,32,
༄༅༅།།,29,
༔།_,29,
༈,15,
།_།_།_།,15,
།།_།_,14,
༅,14,
༄༅༅།_,13,
༔,12,
༄༅།།,11,
༄༅༅_།,11,
།_།_།,5,
༔_,4,
༈།།,4,
_།།_,3,
།།_།།_།,3,
།།_།_།,3,
༄༅།,3,
༄༅༅,3,
_༔,2,
༄༅_།,2,
༑_,1,
༈།_,1,
།།།_,1,
།།_།།_།_།_,1,
།།།།_,1,
_།།།_,1,
།།།_༔,1,
༄༄,1,
༄༅༅།,1,
།།_།།_།།_།།_,1,
།།_།།།,1,
།།_།_།_,1,
།_།_།_,1,
།།_།།_།།_,1,
_།_།_,1,
།_།_།_།_,1,
།_།།_།,1,
༄༅།_,1,
༅༅,1,
