punct,frequency,to check
།_,1167271,
།_།,997284,
_།,50465,
།,16479,
།།_།།,7874,
༄༅།_།,615,
།_།_,609,
།།_,543,
༄༅༅།_།,500,
།།,218,
།།_།།_,145,
_།_,144,
།_།།,109,
༔,65,
།__,28,
༄༅།།,27,
,24,
།།_།,24,
།།།།,22,
_།_།,20,
།_།_།,11,
༔_,9,
༑_,8,
༔།_,8,
_།།,7,
།_།།_,7,
༄༅།_,7,
༅༅,5,
༄༅༅།,5,
༄༅༅།།,5,
༄༅༅།_,4,
༑_།,4,
།།_།།_།།,3,
_།_།།,2,
༄༅།,2,
།།།,1,
།།_།།།།,1,
།_༔,1,
།_།__,1,
།།_།།།།_།།_།།_།།,1,
༈།_,1,
།།།།_,1,
།།_།།_།།_།།_།།_།།_།།_།།_།།,1,
།།_།_།,1,
།།_།།_།།_།།_།།_།།_།།_།།,1,
།__།,1,
།།_།།__།།_།།_།།_།།_།།_།།_།།_།།_།།,1,
།_།_།།,1,
།_།།_།།_།།།།_།།_།།_།།_།།།།_།།_།།_།།_།།_།།,1,
།__།_,1,
༅༅༅,1,
།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།_།།,1,
༔།_།,1,
།།_།།_།།_།།,1,
